============================================================
  Generated by:           Genus(TM) Synthesis Solution 19.12-s121_1
  Generated on:           Jun 07 2026  12:44:32 pm
  Module:                 top_NUM_HEADS8_TILE_DIM8_D_HEAD8_D_MODEL512_FIFO_D256
  Technology libraries:   typical 
                          physical_cells 
  Operating conditions:   typical 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                       Instance                                             Module                        Cell Count   Cell Area    Net Area     Total Area 
------------------------------------------------------------------------------------------------------------------------------------------------------------
top_NUM_HEADS8_TILE_DIM8_D_HEAD8_D_MODEL512_FIFO_D256                                                        3432394 12258610.850 3479269.455  15737880.305 
      pipe_gen[2].u_pipe_exp_gen[6].u_exp             bf16_exp_22                                               1199     2929.598    1131.598      4061.196 
      pipe_gen[0].u_pipe_exp_gen[4].u_exp             bf16_exp_4                                                1203     2919.398    1141.460      4060.857 
      pipe_gen[3].u_pipe_exp_gen[6].u_exp             bf16_exp_30                                               1185     2918.577    1125.678      4044.254 
      pipe_gen[2].u_pipe_exp_gen[5].u_exp             bf16_exp_21                                               1206     2901.785    1138.350      4040.134 
      pipe_gen[3].u_pipe_exp_gen[2].u_exp             bf16_exp_26                                               1193     2894.047    1132.762      4026.809 
      pipe_gen[5].u_pipe_exp_gen[4].u_exp             bf16_exp_44                                               1191     2879.948    1128.305      4008.253 
      pipe_gen[6].u_pipe_exp_gen[2].u_exp             bf16_exp_50                                               1203     2857.957    1143.039      4000.997 
      pipe_gen[1].u_pipe_exp_gen[2].u_exp             bf16_exp_10                                               1207     2855.683    1139.314      3994.997 
      pipe_gen[6].u_pipe_exp_gen[5].u_exp             bf16_exp_53                                               1184     2868.867    1125.345      3994.212 
      pipe_gen[1].u_pipe_exp_gen[3].u_exp             bf16_exp_11                                               1201     2846.851    1137.951      3984.801 
      pipe_gen[0].u_pipe_exp_gen[6].u_exp             bf16_exp_6                                                1190     2849.364    1126.393      3975.757 
      pipe_gen[2].u_pipe_exp_gen[0].u_exp             bf16_exp_16                                               1178     2857.273    1117.346      3974.619 
      pipe_gen[1].u_pipe_exp_gen[4].u_exp             bf16_exp_12                                               1180     2851.733    1121.171      3972.904 
      pipe_gen[2].u_pipe_exp_gen[1].u_exp             bf16_exp_17                                               1172     2853.409    1117.246      3970.655 
